archetype,analysis_type,model,games,winner_accuracy,brier_score,log_loss,margin_mae,total_goals_mae,calibration_gap,average_confidence_score,upset_rate,close_game_rate
deceptive_toss_up,primary_archetype,power_v3_calibrated,35,0.6285714285714286,0.2315770193904746,0.6704763330252447,,,-0.10928674811463979,51.29685714285714,0.37142857142857144,0.2857142857142857
deceptive_toss_up,primary_archetype,calibrated_poisson,35,0.4,0.3841529387142857,1.117020643377204,6.489216467952327,4.4724273593307515,0.3676685714285715,51.29685714285714,0.6,0.2857142857142857
deceptive_toss_up,primary_archetype,hybrid,35,0.6285714285714286,0.2315770193904746,0.6704763330252447,6.489216467952327,4.4724273593307515,-0.10928674811463979,51.29685714285714,0.37142857142857144,0.2857142857142857
defensive_grinder,primary_archetype,power_v3_calibrated,1,1.0,0.15904786652934322,0.5088410231430359,,,-0.39880805725228674,80.64,0.0,0.0
defensive_grinder,primary_archetype,calibrated_poisson,1,1.0,0.08982008999999998,0.356246464320665,10.48217985882614,3.448437063053694,-0.29969999999999997,80.64,0.0,0.0
defensive_grinder,primary_archetype,hybrid,1,1.0,0.15904786652934322,0.5088410231430359,10.48217985882614,3.448437063053694,-0.39880805725228674,80.64,0.0,0.0
fake_blowout,primary_archetype,power_v3_calibrated,1,1.0,0.1751062029335434,0.54207024407189,,,-0.4184569307987901,42.83,0.0,0.0
fake_blowout,primary_archetype,calibrated_poisson,1,1.0,1.8062499999999795e-05,0.00425905692038342,2.4788400876980017,0.2108362146294826,-0.004249999999999976,42.83,0.0,0.0
fake_blowout,primary_archetype,hybrid,1,1.0,0.1751062029335434,0.54207024407189,2.4788400876980017,0.2108362146294826,-0.4184569307987901,42.83,0.0,0.0
high_variance,primary_archetype,power_v3_calibrated,16,0.875,0.15854295761411136,0.5010071965449346,,,-0.23215090658075876,57.6275,0.125,0.1875
high_variance,primary_archetype,calibrated_poisson,16,0.6875,0.19297180468750003,0.5704852863746928,6.020974812751423,3.9945301730265346,0.14131874999999994,57.6275,0.3125,0.1875
high_variance,primary_archetype,hybrid,16,0.875,0.15854295761411136,0.5010071965449346,6.020974812751423,3.9945301730265346,-0.23215090658075876,57.6275,0.125,0.1875
offensive_shootout,primary_archetype,power_v3_calibrated,3,1.0,0.09415153489356658,0.36567452440211196,,,-0.3058340963775027,69.83,0.0,0.0
offensive_shootout,primary_archetype,calibrated_poisson,3,1.0,0.042139004999999986,0.2290358904869615,4.457625649670171,3.8267404299164034,-0.20450000000000002,69.83,0.0,0.0
offensive_shootout,primary_archetype,hybrid,3,1.0,0.09415153489356658,0.36567452440211196,4.457625649670171,3.8267404299164034,-0.3058340963775027,69.83,0.0,0.0
stable_favorite,primary_archetype,power_v3_calibrated,16,0.9375,0.10617900642628914,0.38181899016400506,,,-0.2050746528052778,74.250625,0.0625,0.25
stable_favorite,primary_archetype,calibrated_poisson,16,0.9375,0.06780340234375001,0.2714357478927045,5.082963693905215,3.266528100018593,-0.124334375,74.250625,0.0625,0.25
stable_favorite,primary_archetype,hybrid,16,0.9375,0.10617900642628914,0.38181899016400506,5.082963693905215,3.266528100018593,-0.2050746528052778,74.250625,0.0625,0.25
toss_up,primary_archetype,power_v3_calibrated,1,1.0,0.17830846602422443,0.548641501000331,,,-0.4222658712520163,64.72999999999999,0.0,1.0
toss_up,primary_archetype,calibrated_poisson,1,1.0,0.07747872249999999,0.32621502216856463,1.1176170902683171,1.4655248031623174,-0.27835,64.72999999999999,0.0,1.0
toss_up,primary_archetype,hybrid,1,1.0,0.17830846602422443,0.548641501000331,1.1176170902683171,1.4655248031623174,-0.4222658712520163,64.72999999999999,0.0,1.0
upset_prone,primary_archetype,power_v3_calibrated,28,0.7142857142857143,0.20532916050793157,0.5998685217585195,,,-0.13028085986403115,64.73142857142858,0.2857142857142857,0.5357142857142857
upset_prone,primary_archetype,calibrated_poisson,28,0.6071428571428571,0.22222371883928568,0.6362964294227932,3.053608425942657,3.16256078487088,0.02649464285714287,64.73142857142858,0.39285714285714285,0.5357142857142857
upset_prone,primary_archetype,hybrid,28,0.7142857142857143,0.20532916050793157,0.5998685217585195,3.053608425942657,3.16256078487088,-0.13028085986403115,64.73142857142858,0.2857142857142857,0.5357142857142857
volatile_favorite,primary_archetype,power_v3_calibrated,2,0.5,0.2552866466291656,0.7038008372361744,,,0.09012081971573593,69.895,0.5,0.0
volatile_favorite,primary_archetype,calibrated_poisson,2,0.5,0.34773645249999996,0.9388766102690067,6.798704300236116,2.211463140125451,0.28125,69.895,0.5,0.0
volatile_favorite,primary_archetype,hybrid,2,0.5,0.2552866466291656,0.7038008372361744,6.798704300236116,2.211463140125451,0.09012081971573593,69.895,0.5,0.0
consensus_pick,multi_label_archetype,power_v3_calibrated,19,0.9473684210526315,0.10595968494484345,0.38316324329113466,,,-0.22363887167245156,73.8736842105263,0.05263157894736842,0.3684210526315789
consensus_pick,multi_label_archetype,calibrated_poisson,19,0.9473684210526315,0.0839961607894737,0.31941049486080203,3.9426648678465948,3.145275305593803,-0.17768421052631567,73.8736842105263,0.05263157894736842,0.3684210526315789
consensus_pick,multi_label_archetype,hybrid,19,0.9473684210526315,0.10595968494484345,0.38316324329113466,3.9426648678465948,3.145275305593803,-0.22363887167245156,73.8736842105263,0.05263157894736842,0.3684210526315789
deceptive_toss_up,multi_label_archetype,power_v3_calibrated,35,0.6285714285714286,0.2315770193904746,0.6704763330252446,,,-0.10928674811463979,51.29685714285714,0.37142857142857144,0.2857142857142857
deceptive_toss_up,multi_label_archetype,calibrated_poisson,35,0.4,0.3841529387142857,1.1170206433772043,6.489216467952327,4.47242735933075,0.36766857142857173,51.29685714285714,0.6,0.2857142857142857
deceptive_toss_up,multi_label_archetype,hybrid,35,0.6285714285714286,0.2315770193904746,0.6704763330252446,6.489216467952327,4.47242735933075,-0.10928674811463979,51.29685714285714,0.37142857142857144,0.2857142857142857
defensive_grinder,multi_label_archetype,power_v3_calibrated,4,0.75,0.20176996548636428,0.5949164234079105,,,-0.1816387153452792,58.5075,0.25,0.5
defensive_grinder,multi_label_archetype,calibrated_poisson,4,0.75,0.222869755625,0.640797784243267,4.383010332985897,6.302193880553306,-0.09476249999999997,58.5075,0.25,0.5
defensive_grinder,multi_label_archetype,hybrid,4,0.75,0.20176996548636428,0.5949164234079105,4.383010332985897,6.302193880553306,-0.1816387153452792,58.5075,0.25,0.5
fake_blowout,multi_label_archetype,power_v3_calibrated,4,0.75,0.21865198817358428,0.6301032722659041,,,-0.21663668897745858,52.75249999999999,0.25,0.5
fake_blowout,multi_label_archetype,calibrated_poisson,4,0.5,0.471383288125,1.7749379080437948,7.134701988612541,5.021012866444751,0.47931250000000003,52.75249999999999,0.5,0.5
fake_blowout,multi_label_archetype,hybrid,4,0.75,0.21865198817358428,0.6301032722659041,7.134701988612541,5.021012866444751,-0.21663668897745858,52.75249999999999,0.25,0.5
high_variance,multi_label_archetype,power_v3_calibrated,47,0.7446808510638298,0.20362051510405305,0.6077902229715076,,,-0.18288987878584273,53.1427659574468,0.2553191489361702,0.23404255319148937
high_variance,multi_label_archetype,calibrated_poisson,47,0.48936170212765956,0.32881955925531914,0.9599052273226326,6.5759060996943,4.137102521664211,0.3229127659574468,53.1427659574468,0.5106382978723404,0.23404255319148937
high_variance,multi_label_archetype,hybrid,47,0.7446808510638298,0.20362051510405305,0.6077902229715076,6.5759060996943,4.137102521664211,-0.18288987878584273,53.1427659574468,0.2553191489361702,0.23404255319148937
offensive_shootout,multi_label_archetype,power_v3_calibrated,16,0.875,0.17980550482083146,0.5465781957279059,,,-0.2685167367683471,54.128125,0.125,0.25
