model,games,accuracy,average_confidence,brier_score
elo,133,0.6842105263157895,0.5476494242986107,0.2180518524539091
power_v3_recency,133,0.7142857142857143,0.5667953886432011,0.20768215479277385
power_v3_calibrated,133,0.7142857142857143,0.5869506508908751,0.1995954994151118
