analysis_type,archetype,games,winner_accuracy,margin_mae,total_goals_mae,upset_rate,close_game_rate,average_confidence,brier_score,log_loss,calibration_gap,misleading_confidence_rate
overall,all,103,0.7572815533980582,5.1585975825000725,3.7115683259468795,0.24271844660194175,0.32038834951456313,60.73203883495145,0.18830537894137134,0.5678872550326125,-0.1596631137804463,0.07766990291262135
archetype,stable_favorite,23,0.9565217391304348,4.2056735251487405,3.2481396445612853,0.043478260869565216,0.34782608695652173,73.35521739130436,0.10259704271440506,0.37645565197641756,-0.23511935244833082,0.043478260869565216
archetype,volatile_favorite,10,0.9,5.516689989051042,3.015143638081833,0.1,0.1,65.166,0.12291222711603014,0.42413053900939757,-0.21978095306789835,0.0
archetype,toss_up,33,0.6060606060606061,4.087513043262957,4.19062984353267,0.3939393939393939,0.45454545454545453,56.329393939393945,0.2382968070939487,0.68485335157181,-0.09783875410029363,0.12121212121212122
archetype,deceptive_toss_up,35,0.6285714285714286,6.489216467952327,4.4724273593307515,0.37142857142857144,0.2857142857142857,51.29685714285714,0.2315770193904746,0.6704763330252447,-0.10928674811463979,0.05714285714285714
archetype,offensive_shootout,16,0.875,7.5529153726257,3.8846151857099276,0.125,0.25,54.128125,0.17980550482083146,0.5465781957279059,-0.2685167367683471,0.0625
archetype,defensive_grinder,4,0.75,4.383010332985897,6.302193880553306,0.25,0.5,58.5075,0.20176996548636428,0.5949164234079105,-0.1816387153452792,0.0
archetype,upset_prone,53,0.7169811320754716,4.985008196645652,3.6928208245746497,0.2830188679245283,0.37735849056603776,54.84056603773585,0.21256215870113707,0.6151904325054324,-0.14362293398938886,0.09433962264150944
archetype,high_variance,47,0.7446808510638298,6.5759060996943,4.137102521664211,0.2553191489361702,0.23404255319148937,53.1427659574468,0.20362051510405305,0.6077902229715075,-0.18288987878584284,0.0425531914893617
archetype,fake_blowout,4,0.75,7.134701988612541,5.021012866444751,0.25,0.5,52.75249999999999,0.21865198817358428,0.6301032722659041,-0.21663668897745858,0.25
archetype,consensus_pick,19,0.9473684210526315,3.9426648678465956,3.1452753055938025,0.05263157894736842,0.3684210526315789,73.8736842105263,0.10595968494484345,0.38316324329113466,-0.22363887167245144,0.05263157894736842
primary_archetype,deceptive_toss_up,35,0.6285714285714286,6.489216467952327,4.4724273593307515,0.37142857142857144,0.2857142857142857,51.29685714285714,0.2315770193904746,0.6704763330252447,-0.10928674811463979,0.05714285714285714
primary_archetype,defensive_grinder,1,1.0,10.48217985882614,3.448437063053694,0.0,0.0,80.64,0.15904786652934322,0.5088410231430359,-0.39880805725228674,0.0
primary_archetype,fake_blowout,1,1.0,2.4788400876980017,0.2108362146294826,0.0,0.0,42.83,0.1751062029335434,0.54207024407189,-0.4184569307987901,0.0
primary_archetype,high_variance,16,0.875,6.020974812751423,3.9945301730265346,0.125,0.1875,57.6275,0.15854295761411136,0.5010071965449346,-0.23215090658075876,0.0
primary_archetype,offensive_shootout,3,1.0,4.457625649670171,3.8267404299164034,0.0,0.0,69.83,0.09415153489356658,0.36567452440211196,-0.3058340963775027,0.0
primary_archetype,stable_favorite,16,0.9375,5.082963693905215,3.266528100018593,0.0625,0.25,74.250625,0.10617900642628914,0.38181899016400506,-0.2050746528052778,0.0625
primary_archetype,toss_up,1,1.0,1.1176170902683171,1.4655248031623174,0.0,1.0,64.72999999999999,0.17830846602422443,0.548641501000331,-0.4222658712520163,0.0
primary_archetype,upset_prone,28,0.7142857142857143,3.053608425942657,3.16256078487088,0.2857142857142857,0.5357142857142857,64.73142857142858,0.20532916050793157,0.5998685217585195,-0.13028085986403115,0.17857142857142858
primary_archetype,volatile_favorite,2,0.5,6.798704300236116,2.211463140125451,0.5,0.0,69.895,0.2552866466291656,0.7038008372361744,0.09012081971573593,0.0
most_reliable,stable_favorite,23,0.9565217391304348,4.2056735251487405,3.2481396445612853,0.043478260869565216,0.34782608695652173,73.35521739130436,0.10259704271440506,0.37645565197641756,-0.23511935244833082,0.043478260869565216
