game_id,home_goals_p10,home_goals_p50,home_goals_p90,away_goals_p10,away_goals_p50,away_goals_p90,total_goals_p10,total_goals_p50,total_goals_p90,margin_p10,margin_p50,margin_p90,analysis_type,model,bucket,games,average_expected_total,average_actual_total,average_total_error,score_mae,margin_mae,total_goals_mae
c015fc060c5fdc98,3.0,5.0,9.0,1.0,3.0,6.0,5.0,9.0,13.0,-2.0,2.0,6.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
3651cbf6a3ac00f4,2.0,5.0,8.0,5.0,9.0,13.0,9.0,14.0,19.0,-9.0,-4.0,1.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
725324c21d412671,9.0,13.0,18.0,1.0,2.0,4.0,11.0,16.0,21.0,6.0,11.0,16.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
b9f6da52361d9b5e,6.0,10.0,14.0,1.0,3.0,6.0,9.0,13.0,18.0,2.0,7.0,12.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
bb5e79aa53ad144c,3.0,6.0,10.0,2.0,4.0,7.0,6.0,10.0,15.0,-2.0,2.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
c09881889401d47d,3.0,6.0,10.0,1.0,3.0,6.0,6.0,9.0,14.0,-1.0,3.0,7.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
e5fe74c3450b96be,7.0,11.0,16.0,1.0,4.0,6.0,10.0,15.0,20.0,3.0,8.0,13.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
2c16475e59ca2df5,4.0,8.0,12.0,2.0,5.0,8.0,8.0,12.0,17.0,-1.0,3.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
3bf2d41b33a33585,4.0,7.0,11.0,1.0,3.0,6.0,6.0,10.0,15.0,0.0,4.0,8.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
616512d7fe4b14aa,2.0,4.0,7.0,1.0,3.0,6.0,4.0,8.0,11.0,-3.0,1.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
891dd55ea3c8ae28,2.0,4.0,7.0,3.0,6.0,9.0,6.0,10.0,15.0,-5.0,-1.0,3.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
8b43b577819bdcab,2.0,5.0,8.0,2.0,5.0,8.0,6.0,10.0,15.0,-4.0,0.0,4.0,per_game_score_distribution,calibrated_poisson,,,,,,,,
