model,model_type,test_games,accuracy,brier_score,log_loss,calibration_gap,mae_margin
elo_baseline,baseline,40,0.725,0.2067988540999738,0.6040284892664329,-0.008408340801312142,
power_v3_baseline,baseline,40,0.775,0.19404331966973212,0.576047263473612,-0.013736131983256294,
power_v3_calibrated_baseline,baseline,40,0.775,0.1839145855124246,0.551469539508493,-0.017783787750171864,
ridge_margin,ridge_regression,40,0.725,0.2280254964127602,0.6492491177952405,-0.11283540419732918,5.815165753311795
logistic_win_probability,logistic_regression,40,0.675,0.23266749586993324,0.7111832031838136,-0.055848617504432485,
random_forest_win_probability,random_forest_classifier,40,0.675,0.19335558401999925,0.5675844028421425,-0.11622749630498197,
