upset_risk,games,average_confidence,average_favorite_probability,prediction_accuracy,upset_rate
low,18,78.23833333333333,0.6295989755686234,0.7222222222222222,0.2777777777777778
moderate,91,68.14406593406594,0.5867466629633784,0.6923076923076923,0.3076923076923077
elevated,24,53.83041666666667,0.555737861607655,0.75,0.25
