feature_a,feature_b,correlation,abs_correlation
power_v3_calibrated_win_probability,games_played,0.44828792946964297,0.44828792946964297
power_v3_recency_win_probability,games_played,0.44766203461811654,0.44766203461811654
offense_vs_opponent_defense_gap,recent_opponent_avg_elo,0.442983925813681,0.442983925813681
pregame_home_elo,offense_vs_opponent_defense_gap,0.4262171012577181,0.4262171012577181
defense_vs_opponent_offense_gap,recent_opponent_avg_elo,-0.41628569037940616,0.41628569037940616
rolling_goals_for_std_last_5,rolling_goals_against_std_last_5,0.4075457520938611,0.4075457520938611
recent_opponent_avg_elo,rating_stability,-0.3734190910651617,0.3734190910651617
upset_rate,opponent_win_pct,0.35795647951911436,0.35795647951911436
offensive_sos,defensive_sos,0.3572012880438416,0.3572012880438416
rolling_goals_for_std_last_5,opponent_games_played,-0.3378406178878605,0.3378406178878605
close_game_rate,offensive_sos,0.33546346127740767,0.33546346127740767
projected_pace_interaction,volatility_mismatch,0.33514489217723814,0.33514489217723814
rolling_margin_std_last_5,opponent_games_played,-0.3261844492150711,0.3261844492150711
opponent_games_played,recent_result_volatility,-0.3261844492150711,0.3261844492150711
offensive_sos,recent_opponent_avg_elo,0.3179491034883744,0.3179491034883744
offense_vs_opponent_defense_gap,defense_vs_opponent_offense_gap,0.3113078781637054,0.3113078781637054
upset_rate,defensive_sos,0.30565788065899635,0.30565788065899635
offense_defense_ratio,opponent_games_played,-0.3053561074307451,0.3053561074307451
opponent_games_played,rating_stability,0.29882014573087745,0.29882014573087745
elo_trend,rolling_trend_slope,-0.29602468991289677,0.29602468991289677
power_v3_calibrated_home_probability,upset_rate,0.28993715366926176,0.28993715366926176
power_v3_recency_home_probability,upset_rate,0.28477100025685553,0.28477100025685553
defensive_trend,rolling_trend_slope,0.2829458897918893,0.2829458897918893
power_rating_trend,rolling_trend_slope,0.28211204474535667,0.28211204474535667
recent_vs_season_margin_delta,rolling_trend_slope,0.28065561571855197,0.28065561571855197
rolling_margin_std_last_3,opponent_games_played,-0.2772377417953134,0.2772377417953134
upset_rate,rolling_margin_last_3,0.27291182211591947,0.27291182211591947
rolling_margin_last_5,rolling_trend_slope,-0.2594194476455997,0.2594194476455997
upset_rate,rolling_margin_last_5,0.2533108091990647,0.2533108091990647
rolling_goals_against_std_last_5,games_played,0.2491158623696597,0.2491158623696597
elo_home_probability,upset_rate,0.24849876840171797,0.24849876840171797
defense_vs_opponent_offense_gap,rating_stability,0.24764905541266458,0.24764905541266458
elo_diff_home,rolling_goals_against_std_last_5,-0.24427392937917597,0.24427392937917597
rolling_margin_last_3,offensive_trend,0.24414123357383152,0.24414123357383152
close_game_rate,offense_defense_ratio,0.24372794654496852,0.24372794654496852
defensive_sos,recent_opponent_avg_elo,0.24301142393852262,0.24301142393852262
elo_diff_home,upset_rate,0.2424181183998935,0.2424181183998935
games_played,rating_stability,-0.24173523455584867,0.24173523455584867
elo_home_probability,rolling_goals_against_std_last_5,-0.24157385559998534,0.24157385559998534
rolling_goals_for_std_last_5,rolling_margin_last_3,0.239655191892465,0.239655191892465
power_v3_recency_home_probability,rolling_goals_against_std_last_5,-0.23910173105235097,0.23910173105235097
rolling_margin_last_3,recent_vs_season_margin_delta,0.2375364628475332,0.2375364628475332
power_v3_calibrated_home_probability,rolling_goals_against_std_last_5,-0.23601360632111248,0.23601360632111248
recent_vs_season_margin_delta,recent_opponent_avg_power,-0.23574905913175104,0.23574905913175104
rolling_margin_std_last_5,recent_opponent_avg_elo,0.2348975342412538,0.2348975342412538
recent_opponent_avg_elo,recent_result_volatility,0.2348975342412538,0.2348975342412538
rolling_trend_slope,recent_opponent_avg_power,-0.23419128512264245,0.23419128512264245
rolling_margin_std_last_3,recent_opponent_avg_elo,0.23339300790081213,0.23339300790081213
offensive_sos,opponent_win_pct,0.23321128987271222,0.23321128987271222
power_v3_calibrated_home_probability,recent_opponent_avg_power,0.23237158297033045,0.23237158297033045
rolling_margin_last_3,power_rating_trend,0.2318138809645308,0.2318138809645308
power_v3_recency_home_probability,recent_opponent_avg_power,0.23172911189773276,0.23172911189773276
rolling_goals_against_std_last_5,elo_trend,-0.2298740978552974,0.2298740978552974
recent_opponent_avg_elo,games_played,0.22640306337697966,0.22640306337697966
upset_rate,recent_opponent_avg_elo,0.22326130056383028,0.22326130056383028
elo_trend,recent_opponent_avg_power,0.2178900707456395,0.2178900707456395
power_rating_trend,recent_opponent_avg_power,-0.21756040588135755,0.21756040588135755
rolling_goals_against_std_last_5,recent_opponent_avg_power,-0.21589729169076624,0.21589729169076624
rolling_trend_slope,offensive_sos,0.21526318020254115,0.21526318020254115
rolling_goals_for_std_last_5,rolling_margin_last_5,0.2151960792472261,0.2151960792472261
rolling_goals_for_std_last_5,recent_opponent_avg_elo,0.20902502471268244,0.20902502471268244
rolling_goals_against_std_last_5,recent_opponent_avg_elo,0.20600715839866737,0.20600715839866737
elo_home_probability,recent_opponent_avg_power,0.20519457328566668,0.20519457328566668
close_game_rate,recent_opponent_avg_power,-0.20492033609714905,0.20492033609714905
elo_diff_home,recent_opponent_avg_power,0.20419234839448178,0.20419234839448178
offensive_trend,rolling_trend_slope,0.20300541246465936,0.20300541246465936
rolling_goals_for_std_last_5,defense_vs_opponent_offense_gap,-0.2029623783130868,0.2029623783130868
offensive_trend,volatility_mismatch,-0.19816076741946875,0.19816076741946875
upset_rate,recent_opponent_avg_power,0.19098972744557316,0.19098972744557316
close_game_rate,volatility_mismatch,-0.19065720932738006,0.19065720932738006
rolling_margin_std_last_3,offense_vs_opponent_defense_gap,0.1862678362930563,0.1862678362930563
offensive_trend,recent_opponent_avg_power,-0.18610596593057419,0.18610596593057419
pregame_away_elo,upset_rate,-0.18591758818810863,0.18591758818810863
power_v3_calibrated_home_probability,offensive_sos,-0.18544890997771396,0.18544890997771396
defensive_trend,recent_opponent_avg_power,-0.18526341062178983,0.18526341062178983
power_v3_recency_home_probability,offensive_sos,-0.18418054686930013,0.18418054686930013
pregame_home_elo,power_v3_calibrated_win_probability,0.18202537043081504,0.18202537043081504
rolling_margin_last_5,rating_stability,-0.18181659581284618,0.18181659581284618
strength_gap_absolute,opponent_games_played,0.18139527898934102,0.18139527898934102
pregame_home_elo,recent_opponent_avg_power,0.1813489685417436,0.1813489685417436
pregame_home_elo,power_v3_recency_win_probability,0.1781374901416259,0.1781374901416259
predicted_win_probability,offense_defense_ratio,-0.1763825636301062,0.1763825636301062
rolling_goals_for_std_last_5,games_played,0.17578110841466776,0.17578110841466776
defense_vs_opponent_offense_gap,recent_result_volatility,-0.17523262309945462,0.17523262309945462
rolling_margin_std_last_5,defense_vs_opponent_offense_gap,-0.17523262309945456,0.17523262309945456
rolling_margin_last_3,rolling_trend_slope,-0.1745965133619641,0.1745965133619641
defense_vs_opponent_offense_gap,opponent_games_played,0.1728695245505978,0.1728695245505978
power_v3_calibrated_win_probability,volatility_mismatch,0.17210491607222125,0.17210491607222125
rolling_goals_against_std_last_5,opponent_win_pct,-0.17159069929782744,0.17159069929782744
power_v3_calibrated_home_probability,rolling_trend_slope,-0.17044046952017305,0.17044046952017305
pregame_home_elo,rolling_goals_against_std_last_5,-0.1699855126743697,0.1699855126743697
defensive_trend,games_played,-0.16945922818268408,0.16945922818268408
power_v3_recency_home_probability,rolling_trend_slope,-0.1683356485338802,0.1683356485338802
