analysis_type,bucket,games,winner_accuracy,power_winner_accuracy,poisson_winner_accuracy,brier_score,power_brier_score,poisson_brier_score,log_loss,margin_mae,total_goals_mae,upset_rate,close_game_rate,average_confidence_score,average_probability_gap,directional_disagreement_rate,should_reduce_confidence_rate
overall,all,103,0.7572815533980582,0.7572815533980582,0.6213592233009708,0.18830537894137134,0.18830537894137134,0.24106045718446606,0.5678872550326125,5.1585975825000725,3.7115683259468795,0.24271844660194175,0.32038834951456313,60.73203883495145,0.1960692976932617,0.33980582524271846,0.05825242718446602
disagreement_tier,extreme,13,0.7692307692307693,0.7692307692307693,0.38461538461538464,0.21689605684294985,0.21689605684294985,0.4934756144230769,0.6265214151406668,8.754672747601004,4.448608815553792,0.23076923076923078,0.15384615384615385,52.08923076923076,0.4211392387090843,0.6923076923076923,0.15384615384615385
disagreement_tier,high,30,0.7,0.7,0.5333333333333333,0.1979982726878078,0.1979982726878078,0.27127238474999993,0.6010992347964516,5.515571484624755,3.966080268503809,0.3,0.26666666666666666,55.646333333333345,0.28317028908799385,0.5333333333333333,0.13333333333333333
disagreement_tier,low,30,0.7333333333333333,0.7333333333333333,0.7,0.18040592740097344,0.18040592740097344,0.1805685674166667,0.5451764642035847,4.237867819709276,3.221223569764306,0.26666666666666666,0.43333333333333335,68.64866666666667,0.05539516800599512,0.1,0.0
disagreement_tier,medium,30,0.8333333333333334,0.8333333333333334,0.7333333333333333,0.17412264297798194,0.17412264297798194,0.16196051791666663,0.5319779300509776,4.164054204955774,3.6280169274095275,0.16666666666666666,0.3333333333333333,61.64633333333333,0.15211212821227288,0.23333333333333334,0.0
directional_disagreement,False,68,0.7941176470588235,0.7941176470588235,0.7941176470588235,0.17476720731182854,0.17476720731182854,0.1593313344117647,0.5334628014694036,4.333559416402103,3.4546236010107814,0.20588235294117646,0.36764705882352944,66.84132352941177,0.15337391032837563,0.0,0.0
directional_disagreement,True,35,0.6857142857142857,0.6857142857142857,0.2857142857142857,0.2146081123930544,0.2146081123930544,0.39984846714285716,0.634769050526847,6.761528876633266,4.210775220108442,0.3142857142857143,0.22857142857142856,48.86257142857143,0.2790203360021831,1.0,0.17142857142857143
audit_category,both_right,54,1.0,1.0,1.0,0.1361077875318998,0.1361077875318998,0.06120299240740742,0.45225664696370155,3.786319367910033,3.763801021333287,0.0,0.35185185185185186,67.36814814814817,0.1519541130031699,0.0,0.0
audit_category,both_wrong,15,0.0,0.0,0.0,0.3023374158996671,0.3023374158996671,0.5064918206666666,0.8365456073469576,6.162542007175416,2.4997489454253583,1.0,0.4666666666666667,63.88733333333334,0.16739872711311218,0.06666666666666667,0.0
audit_category,poisson_right_power_wrong,10,0.0,0.0,1.0,0.2872471694865795,0.2872471694865795,0.08838410825000001,0.7680346101716007,2.116246713966647,4.316838075221836,1.0,0.3,49.82000000000001,0.2553536016703289,1.0,0.0
audit_category,power_right_poisson_wrong,24,1.0,1.0,0.0,0.19325419045324388,0.19325419045324388,0.5434602961458334,0.576749921683284,8.886404495127826,4.099236145288848,0.0,0.16666666666666666,48.375416666666666,0.2885457765347836,1.0,0.25
