bucket,games,average_predicted_probability,actual_win_rate,calibration_gap
50-55%,187,0.5187810539388429,0.44919786096256686,-0.06958319297627602
55-60%,127,0.5760776644591472,0.6141732283464567,0.0380955638873095
60-65%,94,0.6221308090005887,0.723404255319149,0.10127344631856028
65-70%,34,0.6725516274772979,0.8235294117647058,0.15097778428740793
70-75%,18,0.7168034702813203,1.0,0.2831965297186797
75%+,1,0.7528524592447023,0.0,-0.7528524592447023
