game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,power_v3_recency_predicted_winner,power_v3_recency_win_probability,elo_correct,power_v2_correct,power_v3_recency_correct
2026-05-03,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,Connecticut Valley Youth Lacrosse,Wethersfield 12U B,0.521969984705474,Connecticut Valley Youth Lacrosse,0.507578244029624,Connecticut Valley Youth Lacrosse,0.5117271851503612,False,True,True
2026-05-03,Simsbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5695014242718823,Connecticut Valley Youth Lacrosse,0.5949506989845795,Connecticut Valley Youth Lacrosse,0.5966493257675445,True,True,True
2026-05-03,Farmington 12U Black,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5572007947035692,Connecticut Valley Youth Lacrosse,0.5940182579362644,Connecticut Valley Youth Lacrosse,0.5859517766517649,True,True,True
2026-05-03,Simsbury 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5889453584678436,Connecticut Valley Youth Lacrosse,0.5649648968830254,Connecticut Valley Youth Lacrosse,0.5594439921847159,True,True,True
2026-05-03,Middletown 12U,Connecticut Valley Youth Lacrosse,Middletown 12U,Connecticut Valley Youth Lacrosse,0.6472680771058053,Connecticut Valley Youth Lacrosse,0.6135540884819615,Connecticut Valley Youth Lacrosse,0.6197384568848779,False,False,False
2026-05-03,Connecticut Valley Youth Lacrosse,West Hartford 12U Gold,West Hartford 12U Gold,West Hartford 12U Gold,0.603325358488304,West Hartford 12U Gold,0.6846116700338696,West Hartford 12U Gold,0.6805446785179483,True,True,True
2026-05-03,Connecticut Valley Youth Lacrosse,Colchester 12U,Connecticut Valley Youth Lacrosse,Colchester 12U,0.5173591237981351,Colchester 12U,0.576823648878608,Colchester 12U,0.5780649951848158,False,False,False
2026-05-03,Connecticut Valley Youth Lacrosse,Wethersfield 12U A,Wethersfield 12U A,Connecticut Valley Youth Lacrosse,0.5265379950596322,Wethersfield 12U A,0.5224797643245334,Wethersfield 12U A,0.521696323758589,False,True,True
2026-05-03,RHAM 12U,Connecticut Valley Youth Lacrosse,RHAM 12U,RHAM 12U,0.5817323764351938,RHAM 12U,0.6704419353634428,RHAM 12U,0.6670802167699418,True,True,True
2026-05-03,Minnechaug 12U White,Connecticut Valley Youth Lacrosse,Minnechaug 12U White,Minnechaug 12U White,0.6454679922652167,Minnechaug 12U White,0.6458700262377443,Minnechaug 12U White,0.6492726883103168,True,True,True
2026-05-03,Connecticut Valley Youth Lacrosse,West Hartford 12U Green,West Hartford 12U Green,West Hartford 12U Green,0.5816863496243495,West Hartford 12U Green,0.5929329858049239,West Hartford 12U Green,0.5916125337613021,True,True,True
2026-05-04,Connecticut Valley Youth Lacrosse,Wolcott 12U,Wolcott 12U,Wolcott 12U,0.5973197673331034,Wolcott 12U,0.5685956642124168,Wolcott 12U,0.5724004985753949,True,True,True
2026-05-04,Bristol 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Bristol 12U,0.5189645439878454,Connecticut Valley Youth Lacrosse,0.5597256187209925,Connecticut Valley Youth Lacrosse,0.5611233536746656,False,True,True
2026-05-04,West Springfield 12U,Connecticut Valley Youth Lacrosse,West Springfield 12U,West Springfield 12U,0.5870123407939281,West Springfield 12U,0.5846173698735662,West Springfield 12U,0.5907695515829613,True,True,True
2026-05-04,Connecticut Valley Youth Lacrosse,Minnechaug 12U,Minnechaug 12U,Minnechaug 12U,0.6534069806831624,Minnechaug 12U,0.6516352697569819,Minnechaug 12U,0.6552191612721368,True,True,True
2026-05-04,Westfield 12U Red,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Westfield 12U Red,0.6960616853149951,Westfield 12U Red,0.68783224635709,Westfield 12U Red,0.6881782972158833,False,False,False
2026-05-04,Connecticut Valley Youth Lacrosse,Belchertown 12U,Connecticut Valley Youth Lacrosse,Belchertown 12U,0.5538437051776843,Connecticut Valley Youth Lacrosse,0.5124561730553844,Connecticut Valley Youth Lacrosse,0.508118926818339,False,True,True
2026-05-05,Connecticut Valley Youth Lacrosse,Colchester 12U,Connecticut Valley Youth Lacrosse,Colchester 12U,0.5267644823611926,Colchester 12U,0.5247110750998044,Colchester 12U,0.5189846307668319,False,False,False
2026-05-05,Northampton 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.6021810136412495,Connecticut Valley Youth Lacrosse,0.6099274617870493,Connecticut Valley Youth Lacrosse,0.6103146214469048,True,True,True
2026-05-05,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,0.5966279279681878,Connecticut Valley Youth Lacrosse,0.6003110500106486,Connecticut Valley Youth Lacrosse,0.6094251109874731,False,False,False
