game_date,home_team,away_team,actual_winner,elo_predicted_winner,elo_win_probability,power_v2_predicted_winner,power_v2_win_probability,hybrid_predicted_winner,hybrid_win_probability,elo_correct,power_v2_correct,hybrid_correct
2026-05-13,Connecticut Valley Youth Lacrosse,Southington 12U White,Connecticut Valley Youth Lacrosse,Southington 12U White,0.5226835829273112,Connecticut Valley Youth Lacrosse,0.5333542840954446,Connecticut Valley Youth Lacrosse,0.5182540710367505,False,True,True
2026-05-13,Wethersfield 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Wethersfield 12U A,0.5750533041797037,Wethersfield 12U A,0.5762418697967446,Wethersfield 12U A,0.5611345377763644,False,False,False
2026-05-13,RHAM 12U,Connecticut Valley Youth Lacrosse,RHAM 12U,RHAM 12U,0.6285977814373266,RHAM 12U,0.6774935919306514,RHAM 12U,0.6370227085807135,True,True,True
2026-05-13,Connecticut Valley Youth Lacrosse,West Hartford 12U Gold,West Hartford 12U Gold,West Hartford 12U Gold,0.6974804900690128,West Hartford 12U Gold,0.7134795812735744,West Hartford 12U Gold,0.6726061685471418,True,True,True
2026-05-13,Connecticut Valley Youth Lacrosse,Glastonbury 12U Blue,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5302875598459164,Connecticut Valley Youth Lacrosse,0.5829631166607487,Connecticut Valley Youth Lacrosse,0.5587658427042029,True,True,True
2026-05-13,West Hartford 12U White,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.6009579846822227,Connecticut Valley Youth Lacrosse,0.6268328872589122,Connecticut Valley Youth Lacrosse,0.5985347923806064,True,True,True
2026-05-13,Newington 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5685680984092527,Connecticut Valley Youth Lacrosse,0.5866948269257426,Connecticut Valley Youth Lacrosse,0.5670098376809565,True,True,True
2026-05-13,Tolland 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.6546481767844656,Connecticut Valley Youth Lacrosse,0.7101141446365047,Connecticut Valley Youth Lacrosse,0.6636429838297065,True,True,True
2026-05-13,Connecticut Valley Youth Lacrosse,Ellington 12U,Ellington 12U,Connecticut Valley Youth Lacrosse,0.6261566367155352,Connecticut Valley Youth Lacrosse,0.6328012098591522,Connecticut Valley Youth Lacrosse,0.6063898363470785,False,False,False
2026-05-13,Connecticut Valley Youth Lacrosse,Granby 12U,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5628452835555864,Connecticut Valley Youth Lacrosse,0.5649144378336205,Connecticut Valley Youth Lacrosse,0.5518502730026131,True,True,True
2026-05-13,Avon 12U B,Connecticut Valley Youth Lacrosse,Avon 12U B,Connecticut Valley Youth Lacrosse,0.5194266339648255,Avon 12U B,0.526907543086837,Avon 12U B,0.514548313470893,False,True,True
2026-05-13,Connecticut Valley Youth Lacrosse,Berlin 12U A,Berlin 12U A,Connecticut Valley Youth Lacrosse,0.5797252368548911,Connecticut Valley Youth Lacrosse,0.570269375827918,Connecticut Valley Youth Lacrosse,0.5579407364201486,False,False,False
2026-05-13,Farmington 12U Red,Connecticut Valley Youth Lacrosse,Farmington 12U Red,Farmington 12U Red,0.5476253977434691,Farmington 12U Red,0.5378966954259454,Farmington 12U Red,0.5318980235777493,True,True,True
2026-05-14,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,Connecticut Valley Youth Lacrosse,0.5758711797006029,Connecticut Valley Youth Lacrosse,0.615090170264331,Connecticut Valley Youth Lacrosse,0.5869045453575545,True,True,True
2026-05-14,Connecticut Valley Youth Lacrosse,Burlington 12U,Connecticut Valley Youth Lacrosse,Burlington 12U,0.5834523397210358,Burlington 12U,0.5886995130716802,Burlington 12U,0.5706010722509127,False,False,False
2026-05-14,Meriden 12U,Connecticut Valley Youth Lacrosse,Tie,Connecticut Valley Youth Lacrosse,0.5076453798070655,Connecticut Valley Youth Lacrosse,0.5143736571760023,Connecticut Valley Youth Lacrosse,0.5105061172839928,False,False,False
2026-05-14,Connecticut Valley Youth Lacrosse,Suffield 12U,Connecticut Valley Youth Lacrosse,Suffield 12U,0.5960209956838327,Suffield 12U,0.6418069471234109,Suffield 12U,0.6078314771738359,False,False,False
2026-05-14,Southington 12U Blue,Connecticut Valley Youth Lacrosse,Southington 12U Blue,Southington 12U Blue,0.5201418012781533,Southington 12U Blue,0.5552627842205774,Southington 12U Blue,0.5390517338614718,True,True,True
2026-05-14,Connecticut Valley Youth Lacrosse,Bristol 12U,Tie,Connecticut Valley Youth Lacrosse,0.6098337915617497,Connecticut Valley Youth Lacrosse,0.6057659504964772,Connecticut Valley Youth Lacrosse,0.5859125691377588,False,False,False
2026-05-14,Connecticut Valley Youth Lacrosse,Agawam 12U,Agawam 12U,Connecticut Valley Youth Lacrosse,0.5405196101626134,Connecticut Valley Youth Lacrosse,0.5850631131706179,Connecticut Valley Youth Lacrosse,0.5616906243959626,False,False,False
2026-05-14,Westfield 12U Red,Connecticut Valley Youth Lacrosse,Westfield 12U Red,Westfield 12U Red,0.6164485770285837,Westfield 12U Red,0.6526300896381676,Westfield 12U Red,0.6182268329099053,True,True,True
2026-05-15,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,East Longmeadow 12U A,Connecticut Valley Youth Lacrosse,0.592214186669958,Connecticut Valley Youth Lacrosse,0.6117560816522082,Connecticut Valley Youth Lacrosse,0.5871682408193108,False,False,False
2026-05-15,Connecticut Valley Youth Lacrosse,Meriden 12U,Connecticut Valley Youth Lacrosse,Meriden 12U,0.5451128694442489,Connecticut Valley Youth Lacrosse,0.5122645435209948,Connecticut Valley Youth Lacrosse,0.5010975572471584,False,True,True
