bucket,games,average_predicted_probability,actual_win_rate,calibration_gap
50-55%,59,0.5166941114216654,0.559322033898305,0.0426279224766396
55-60%,30,0.5743861191939258,0.7333333333333333,0.1589472141394075
60-65%,14,0.6221690630223635,0.7142857142857143,0.09211665126335078
65-70%,13,0.6713009049159572,1.0,0.3286990950840428
70-75%,9,0.7246189953901809,0.8888888888888888,0.1642698934987079
75%+,8,0.7986313517572725,1.0,0.2013686482427275
